Tenure,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Computer,PreferredLoginDevice_Phone,CityTier_1,CityTier_2,CityTier_3,PreferredPaymentMode_CC,PreferredPaymentMode_COD,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Others,PreferedOrderCat_Phone,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Churn
1.0,27.0,4.0,6,3,5,True,12.0,2.0,3.0,3.0,170.59,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,True
1.0,17.0,4.0,5,4,3,True,26.0,2.0,2.0,1.0,143.59,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,True
14.0,33.0,4.0,5,1,5,True,14.0,1.0,2.0,1.0,169.22,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
1.0,13.0,4.0,2,1,2,False,19.0,3.0,8.0,8.0,150.44,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False
12.0,9.0,3.0,5,4,3,False,23.0,2.0,4.0,4.0,149.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
19.0,9.0,4.0,4,4,2,False,20.0,4.0,4.0,8.0,173.05,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
25.0,18.0,3.0,5,4,5,False,17.0,1.0,2.840898817536585,4.0,256.42,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
5.0,9.0,2.0,3,1,4,False,15.0,6.0,7.0,7.4986350819869445,211.58999999999997,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
16.0,9.0,3.0,5,5,2,True,12.0,8.0,8.0,9.0,150.93,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False
5.0,11.0,2.0,1,1,4,False,17.0,1.0,1.0,2.0,133.12,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False
0.0,14.0,2.0,5,3,2,False,19.0,1.0,1.0,2.0,146.21,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False
1.0,16.0,3.0,4,3,3,False,16.0,2.0,3.0,3.0,152.42,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,True
10.0,33.0,3.0,1,3,5,True,12.0,0.0,1.0,3.0,163.97,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,True
0.0,15.95020137176128,3.0,3,1,2,False,24.0,2.0,2.0,2.0,123.22999999999999,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False
8.0,7.0,4.0,2,1,4,False,17.0,2.0,2.0,4.0,157.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
5.0,17.0,3.0,4,3,6,False,21.0,4.0,6.487501162630782,9.0,235.31,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
1.0,35.0,3.0,5,4,2,False,14.0,0.0,1.0,7.0,165.49,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
4.0,15.0,4.0,2,5,2,True,13.0,1.0,2.8893719985988837,8.0,239.16000000000003,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
8.0,7.0,4.0,4,4,3,False,16.0,2.0,2.0,4.0,168.25,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
10.0,6.0,2.0,4,3,2,False,18.0,0.0,1.0,7.0,159.93,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
22.0,17.0,3.0,3,1,4,False,12.0,0.0,1.0,4.0,145.07,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,False
0.0,6.0,3.0,3,4,2,True,16.0,0.0,1.0,4.0,132.02,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,True
26.0,10.0,3.0,5,3,4,True,15.0,1.0,2.0,5.0,204.69,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
11.0,12.0,3.0,2,3,2,False,15.0,2.0,2.0,4.0,160.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
10.0,27.0,3.0,2,5,2,True,12.0,0.0,1.0,7.0,135.64,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False
13.0,28.0,3.0,6,3,8,False,20.0,1.0,2.0,3.0,182.36,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
0.7237975569703536,8.0,3.0,3,5,2,True,12.0,1.0,1.0,0.0,120.74000000000001,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True
1.0,32.0,3.0,2,2,3,True,13.0,2.0,2.0,2.0,154.94,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
1.0,27.0,4.0,4,3,5,False,13.0,2.0,2.0,4.750486047718058,223.24,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
9.0,9.0,4.0,4,5,4,False,12.0,2.0,2.0,1.0,175.93,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
7.0,15.0,2.0,3,2,1,False,11.0,1.0,1.0,6.0,185.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
8.0,10.0,3.0,6,5,5,False,19.0,3.0,4.0,13.0,172.59,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,False
7.0,10.0,3.0,3,1,3,True,13.0,0.0,1.0,0.0,197.13,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
5.0,19.0,4.0,4,2,10,True,24.0,2.0,2.0,3.0,164.29,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False
0.0,11.0,2.6060160833604695,3,3,2,True,13.0,1.0,1.0,0.0,128.51,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,True
30.0,15.0,4.0,4,5,6,True,19.0,3.0,3.0,3.0,167.57,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False
7.0,6.0,2.0,4,1,2,True,13.0,1.0,1.0,3.0,136.22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False
1.0,13.0,3.0,5,3,3,False,14.0,3.0,3.0,3.0,150.39,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False
0.0,9.0,2.60940305700633,4,1,1,True,11.0,0.0,1.0,0.0,128.53,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True
0.0,11.0,2.664726638347846,4,3,1,False,18.0,0.0,1.0,0.0,129.66,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
1.0,31.0,4.0,5,1,3,True,25.0,2.0,2.0,1.0,149.39,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,True
15.0,15.0,3.0,4,1,9,False,16.007002529351556,1.0,1.0,1.0,296.13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,False
12.0,9.0,4.0,5,4,6,False,15.0,1.0,2.0,6.0,149.68,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False
13.0,9.0,4.0,4,3,2,False,26.0,7.0,9.296332847509586,9.0,234.38,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False
22.0,10.0,2.0,4,3,3,False,13.0,0.2692989796514569,1.0,0.0,287.11,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False
14.0,14.0,2.0,5,1,3,False,15.0,1.0,1.0,3.0,206.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True
0.0,9.0,2.0,3,3,2,False,12.0,6.0,7.0,7.0,140.84,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,True
5.0,12.0,3.0,4,1,2,True,13.0,2.0,2.0,4.0,173.21,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False
29.0,29.0,3.0,3,4,5,True,12.0,13.0,16.162885147523205,9.0,234.01999999999998,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,False
18.0,15.0,3.0,3,5,5,True,12.0,0.0,1.0,2.0,207.61,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
11.0,9.0,2.0,3,3,4,True,20.0,2.0,2.0,2.0,143.17,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,False
1.0,15.0,4.0,5,1,8,False,12.0,2.0,2.0,3.0,146.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True
6.0,17.0,4.0,4,1,10,False,14.0,1.0,2.0,1.0,171.48,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,False
1.0,5.0,3.0,5,4,3,False,16.0,1.0,2.0,1.0,150.96,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True
21.0,28.0,2.0,3,1,4,False,11.0,1.8264487382481294,4.0,7.0,271.74,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,False
1.0,15.0,3.0,5,4,3,False,13.0,1.0,2.0,1.0,137.61,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,True
0.0,16.0,2.0,4,5,10,False,17.0,4.0,6.0,0.0,203.06,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True
20.0,20.0,2.0,3,5,3,False,12.0,1.0,1.0,7.0,149.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,False
8.0,13.952551721967085,3.0,3,3,2,False,13.0,1.0,1.0,0.0,124.03999999999999,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False
14.0,9.0,3.0,2,3,7,False,21.0,7.0,12.0,9.0,188.77,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
25.0,7.0,4.0,4,2,3,False,12.0,2.0,2.0,1.0,152.23,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False
7.425666342710222,30.0,2.0,3,4,2,False,16.0,0.0,1.0,4.0,121.77000000000001,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
26.0,32.0,3.0,5,2,5,False,23.0,1.4126500086395306,2.0,1.0,263.26,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,False
26.0,13.0,3.0,4,2,8,True,18.0,0.0,1.0,3.7810971600085517,209.33999999999997,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0.0,9.0,3.0,4,3,2,False,17.0,1.0,1.0,0.0,132.3,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
9.0,14.0,3.0,2,5,10,False,14.0,0.0,1.0,4.225939927086031,217.13,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
14.0,15.0,3.0,3,3,3,False,15.790321474356247,0.0,1.0,11.0,294.19,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,False
3.0,22.0,3.0,5,3,2,True,13.0,2.0,2.0,9.0,166.93,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,False
19.0,15.78577657373052,3.0,3,3,9,False,11.0,6.0,9.0,8.0,123.38999999999999,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True
16.0,34.0,3.0,1,3,5,False,12.0,0.0,1.0,2.0,147.39,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
13.0,16.0,2.0,4,4,8,False,12.0,1.0,1.0,3.0,168.52,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
7.0,9.0,3.0,4,1,4,True,12.0,0.0,1.0,1.0,181.03,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
0.0,14.0,2.0,1,3,8,False,17.0,0.0,1.0,2.0,135.17,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False
19.0,8.0,2.0,3,1,3,False,11.0,0.0,1.0,4.0,173.79,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
26.0,7.0,2.0,4,3,5,True,20.0,1.0,1.0,3.353536851583067,229.64999999999998,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,False
15.0,15.0,3.0,6,1,4,False,16.0,2.0,2.0,4.0,231.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True
0.0,6.0,2.0,4,1,7,False,22.0,2.0,2.0,2.0,147.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
11.0,16.0,2.569444239368071,3,3,1,False,17.0,0.0,1.0,2.0,126.84,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False
16.0,14.0,2.0,3,4,5,False,21.0,1.0,1.0,0.0,147.65,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
8.725165979893625,8.0,2.0,3,4,5,False,14.0,0.0,1.0,2.0,121.87,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,False
2.0,28.0,3.0,4,2,3,False,12.0,1.0,2.0,3.0,152.13,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False
19.0,14.0,3.0,4,5,9,True,23.0,1.0,1.0,7.0,146.15,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
22.0,7.0,2.0,3,3,5,False,14.0,1.0,2.0861936901759126,0.0,253.79000000000002,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
1.0,11.0,4.0,5,3,7,False,17.0,1.0,2.0,3.0,163.94,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,True
5.943323006578872,22.0,2.0,3,3,2,False,14.0,0.0,1.0,4.0,121.44,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
16.0,20.0,4.0,2,5,7,False,19.0,2.0,2.0,1.0,180.38,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
6.0,7.0,3.0,4,1,3,False,20.0,4.0,6.0,7.498230535287847,229.22,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False
4.0,24.0,4.0,4,5,3,True,24.0,1.0,3.1509676972737934,9.0,244.16000000000003,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False
0.0,6.0,2.0,4,5,6,False,19.0,0.0,2.0,0.0,142.98,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False
0.0,16.737449268829483,2.0,4,4,2,True,18.0,0.0,1.0,0.0,124.13,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,True
1.0,9.0,4.0,4,4,3,False,13.0,1.0,2.0,1.0,138.93,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,True
9.0,9.0,4.0,5,1,2,True,15.0,2.0,2.0,5.0,174.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,False
13.0,10.0,4.0,5,3,2,False,16.0,1.0,2.0,8.0,155.69,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,False
26.0,26.0,3.0,4,2,2,False,19.0,2.0,2.0,3.0,167.58,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False
