Churn,Tenure,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice,PreferredPaymentMode,Gender,PreferedOrderCat,MaritalStatus,CityTier
True,4.0,26.0,2.0,3,4,2,True,22.0,0.0,1.0,2.0,131.4,Phone,E wallet,Female,Phone,Single,3
False,23.0,6.0,2.0,4,3,3,False,15.0,0.0,1.0,2.0,136.9,Phone,CC,Male,Phone,Divorced,1
False,26.0,19.0,2.0,2,5,2,False,11.0,1.0,1.0,3.0,144.5,Phone,CC,Female,Laptop & Accessory,Married,1
False,6.0,20.0,2.6,3,4,2,False,13.0,0.0,1.0,6.0,127.56,Phone,CC,Female,Phone,Divorced,1
False,13.0,10.0,2.0,3,3,2,False,14.0,1.0,9.0,9.0,290.33,Phone,CC,Female,Others,Divorced,1
False,28.0,20.0,3.0,2,4,9,False,11.0,1.4,2.0,15.0,287.22,Phone,CC,Male,Others,Single,1
False,7.0,8.0,2.0,4,3,2,False,17.0,0.0,1.0,9.0,195.47,Computer,Debit Card,Male,Laptop & Accessory,Divorced,1
False,24.0,9.0,3.0,3,4,4,False,18.0,0.0,2.0,0.0,237.33999999999997,Phone,CC,Female,Grocery,Single,1
False,25.0,6.0,3.0,4,3,1,False,15.4,1.0,11.0,9.0,299.99,Phone,Debit Card,Male,Others,Divorced,1
False,5.2,15.0,2.0,3,4,2,False,16.0,1.0,1.0,3.0,122.78999999999999,Phone,CC,Female,Phone,Single,1
True,0.0,29.0,2.0,4,3,4,True,13.0,1.0,1.0,1.0,159.16,Phone,Debit Card,Male,Laptop & Accessory,Divorced,1
False,13.6,13.0,2.0,2,2,5,False,14.0,0.0,2.0,2.0,120.88999999999999,Computer,CC,Male,Phone,Married,1
False,18.0,8.0,3.0,4,2,10,False,23.0,2.8,11.0,8.0,267.92,Computer,CC,Male,Grocery,Divorced,1
False,10.0,27.0,3.0,2,5,2,True,12.0,0.0,1.0,7.0,135.64,Phone,Debit Card,Male,Phone,Divorced,1
False,8.0,8.0,2.0,3,4,6,False,11.0,1.0,1.0,2.0,144.25,Computer,CC,Female,Laptop & Accessory,Single,1
False,15.0,27.0,2.0,3,3,3,False,16.0,0.0,1.0,2.0,152.65,Computer,CC,Female,Laptop & Accessory,Married,1
False,11.0,8.0,2.0,3,3,10,False,14.0,0.0,1.0,0.0,165.53,Phone,Debit Card,Male,Laptop & Accessory,Divorced,1
False,11.0,35.0,2.0,3,2,4,False,18.0,0.0,1.0,7.0,162.61,Phone,COD,Male,Laptop & Accessory,Divorced,1
False,0.0,6.0,2.0,4,5,6,False,19.0,0.0,2.0,0.0,142.98,Computer,COD,Male,Laptop & Accessory,Divorced,1
False,22.0,24.0,3.0,3,2,2,True,15.0,0.0,1.0,7.0,168.04,Computer,Debit Card,Male,Laptop & Accessory,Married,1
False,7.0,16.0,2.0,3,3,2,True,17.0,2.0,2.0,0.0,138.15,Computer,CC,Male,Phone,Married,1
False,13.0,25.0,2.4,3,2,9,True,15.0,1.0,3.0,7.0,127.41,Phone,CC,Male,Laptop & Accessory,Divorced,1
True,1.0,35.0,3.0,3,5,8,True,19.0,0.0,1.0,0.0,166.73,Phone,CC,Male,Laptop & Accessory,Divorced,1
True,0.0,33.0,2.0,3,2,2,False,22.0,1.0,1.0,9.0,176.39,Phone,E wallet,Female,Fashion,Divorced,3
False,0.0,21.2,2.0,2,4,2,True,16.0,0.0,2.0,2.0,123.28,Phone,Debit Card,Male,Phone,Married,1
False,4.8,24.0,3.0,3,2,2,False,13.0,1.0,1.0,7.0,121.53,Computer,CC,Female,Phone,Single,1
False,13.0,15.0,3.0,4,2,10,False,14.0,1.0,1.0,2.0,148.76,Computer,Debit Card,Male,Laptop & Accessory,Divorced,1
False,19.0,6.0,3.0,3,5,8,False,16.0,0.0,1.0,3.0,193.96,Phone,CC,Male,Fashion,Married,1
True,0.0,10.0,2.0,5,2,2,False,11.0,7.0,9.0,8.0,204.0,Phone,CC,Male,Fashion,Divorced,3
False,3.0,6.0,2.0,4,3,2,False,22.0,2.0,5.0,8.0,184.74,Computer,Debit Card,Male,Fashion,Single,1
False,0.0,26.0,2.0,3,3,2,False,14.0,1.0,1.0,7.0,199.81,Computer,Debit Card,Female,Laptop & Accessory,Single,3
False,24.0,14.0,2.0,4,4,6,False,16.0,1.0,4.0,4.4,224.89999999999998,Phone,Debit Card,Male,Fashion,Divorced,1
True,0.0,12.6,2.0,3,5,6,True,11.0,1.0,1.0,4.0,126.57,Phone,COD,Female,Phone,Single,1
False,14.0,12.0,3.0,3,2,4,True,18.0,0.0,6.0,0.0,235.91000000000003,Phone,Debit Card,Female,Fashion,Single,3
True,0.0,32.0,2.0,4,5,6,False,15.0,0.0,1.0,1.0,166.96,Computer,E wallet,Female,Laptop & Accessory,Single,3
True,2.0,6.0,2.0,3,3,1,False,14.0,0.0,1.0,5.0,120.58000000000001,Phone,COD,Male,Phone,Single,1
False,18.0,12.0,2.0,4,2,7,False,12.0,12.0,12.0,8.0,188.65,Computer,CC,Female,Fashion,Single,3
False,27.0,9.0,2.0,3,5,3,False,14.0,1.0,1.0,5.0,159.4,Phone,E wallet,Female,Laptop & Accessory,Divorced,3
False,9.0,11.0,3.0,3,4,9,False,16.0,0.0,3.0,7.0,159.14,Phone,Debit Card,Male,Laptop & Accessory,Single,1
False,6.0,22.6,2.0,4,4,7,False,21.0,0.0,1.0,1.0,126.22,Phone,CC,Female,Phone,Divorced,1
False,10.0,17.0,2.0,3,2,2,True,14.0,0.0,1.0,9.2,221.85000000000002,Computer,UPI,Male,Fashion,Married,1
False,11.0,9.0,3.0,3,3,1,False,12.0,1.0,5.0,13.0,206.08999999999997,Phone,Debit Card,Male,Fashion,Married,3
False,4.0,6.0,2.0,5,3,1,False,12.0,1.0,1.0,4.0,143.45,Computer,CC,Male,Laptop & Accessory,Divorced,1
False,10.0,9.0,3.0,4,2,4,False,17.0,0.0,1.0,0.0,121.77000000000001,Phone,Debit Card,Male,Phone,Divorced,1
False,10.0,10.0,2.0,3,2,5,False,17.0,1.0,5.0,8.0,0.0,Computer,E wallet,Male,Phone,Married,3
False,2.0,6.0,2.0,3,2,2,False,14.0,4.0,4.0,1.0,179.18,Computer,CC,Female,Fashion,Divorced,3
False,8.0,6.0,3.0,3,3,2,False,14.0,1.0,1.0,8.0,187.89,Computer,E wallet,Female,Fashion,Single,3
True,0.0,18.6,2.0,4,2,2,True,13.0,0.0,1.0,1.0,123.88999999999999,Phone,CC,Male,Phone,Single,1
False,25.0,8.0,2.0,4,2,8,False,15.0,0.0,2.0,2.0,132.12,Phone,Debit Card,Female,Phone,Single,1
False,15.0,10.0,2.0,3,2,2,False,13.4,0.0,11.0,15.0,292.32,Phone,COD,Male,Others,Divorced,1
False,5.4,12.0,2.0,3,3,9,False,17.0,2.0,2.0,2.0,122.66999999999999,Phone,CC,Male,Phone,Divorced,2
False,23.0,6.0,3.0,3,2,4,False,14.4,1.0,1.0,6.0,295.17,Phone,CC,Female,Others,Married,3
True,0.0,6.0,2.0,3,2,6,True,13.0,0.0,1.0,4.0,124.36000000000001,Phone,CC,Male,Phone,Divorced,1
False,16.0,22.0,3.0,3,2,6,True,22.0,0.0,5.8,9.0,260.64,Phone,E wallet,Female,Grocery,Divorced,3
True,0.0,8.0,3.0,3,5,8,False,20.0,1.0,1.0,7.0,127.07,Phone,Debit Card,Female,Phone,Divorced,1
False,25.0,8.0,3.0,4,3,2,True,18.0,6.0,15.0,12.0,290.68,Computer,Debit Card,Male,Others,Single,3
False,5.0,10.0,2.0,3,4,3,False,11.0,1.0,1.0,2.0,139.31,Phone,Debit Card,Female,Phone,Divorced,3
True,0.0,6.0,3.0,4,3,1,True,14.0,1.0,1.0,2.0,137.3,Phone,Debit Card,Male,Phone,Single,1
False,10.6,6.0,3.0,3,3,8,False,14.0,0.0,1.0,2.0,122.32,Phone,CC,Female,Phone,Married,1
False,5.0,32.0,3.0,3,2,1,False,18.0,1.0,2.0,2.0,144.65,Computer,E wallet,Male,Laptop & Accessory,Divorced,3
False,14.0,25.0,2.4,3,5,3,False,16.0,1.0,1.0,0.0,130.72,Phone,Debit Card,Male,Laptop & Accessory,Married,1
False,13.0,30.0,3.0,3,2,2,False,17.0,2.0,4.0,7.0,133.19,Phone,COD,Male,Laptop & Accessory,Married,1
False,18.0,6.0,3.0,2,2,1,False,13.2,1.0,1.0,7.0,292.02,Phone,UPI,Male,Others,Divorced,1
False,4.0,9.0,3.0,3,3,10,False,12.0,1.0,9.2,2.0,236.75,Computer,CC,Male,Fashion,Married,1
False,6.0,11.0,2.6,4,2,2,False,13.0,0.0,1.0,2.0,129.11,Phone,Debit Card,Female,Phone,Divorced,1
False,7.0,8.0,2.0,4,5,7,False,13.0,0.0,5.0,9.0,159.57,Phone,Debit Card,Male,Laptop & Accessory,Divorced,1
False,10.0,6.0,2.0,4,5,3,False,14.0,1.0,1.0,2.0,139.2,Phone,CC,Female,Phone,Divorced,1
False,18.0,13.0,3.0,2,3,5,False,17.0,0.0,1.0,2.0,164.34,Computer,Debit Card,Male,Laptop & Accessory,Divorced,1
True,0.0,16.0,3.0,3,3,7,False,11.0,1.0,1.0,0.0,200.48,Computer,CC,Male,Fashion,Married,1
False,12.0,8.0,3.0,3,3,1,False,25.0,10.0,11.0,5.8,209.38,Computer,COD,Female,Fashion,Single,1
False,2.0,19.2,2.0,3,2,2,False,19.0,0.0,1.0,5.0,123.4,Phone,Debit Card,Male,Phone,Single,1
False,15.0,23.0,2.0,2,5,4,True,13.0,0.0,1.0,2.0,165.45,Phone,Debit Card,Female,Laptop & Accessory,Single,1
False,2.0,26.0,2.0,3,2,3,False,14.0,1.0,1.0,2.0,169.31,Phone,E wallet,Male,Laptop & Accessory,Married,3
False,0.0,6.0,3.0,3,3,1,False,12.0,1.0,1.0,2.0,148.98,Phone,Debit Card,Female,Laptop & Accessory,Divorced,1
False,15.0,12.0,2.0,4,5,1,True,11.0,4.0,7.0,8.0,125.93,Phone,CC,Female,Phone,Married,1
False,13.0,8.0,2.0,3,3,1,False,13.2,0.0,3.0,9.0,294.36,Phone,CC,Male,Others,Married,1
False,24.0,6.0,2.6,3,2,2,False,11.0,1.0,1.0,0.0,127.22999999999999,Phone,Debit Card,Male,Phone,Divorced,1
True,0.0,35.0,3.0,4,4,1,False,11.0,1.0,1.0,4.0,134.79,Computer,CC,Male,Phone,Single,1
False,5.0,13.0,2.6,2,4,2,False,20.0,0.0,1.0,3.0,127.94,Computer,Debit Card,Male,Phone,Divorced,1
False,11.0,8.0,2.0,4,2,4,False,18.0,6.0,7.0,5.0,152.49,Computer,Debit Card,Male,Laptop & Accessory,Divorced,3
False,6.0,8.0,2.0,4,5,5,False,13.0,0.0,1.0,4.0,121.75999999999999,Phone,COD,Male,Laptop & Accessory,Single,1
False,19.0,8.0,3.0,5,4,4,True,12.0,2.4,7.0,7.0,268.72,Phone,COD,Female,Grocery,Divorced,3
True,0.0,8.0,3.0,3,3,3,False,11.0,1.0,1.0,0.0,134.85,Phone,Debit Card,Male,Phone,Single,1
False,2.0,8.0,3.0,4,4,3,False,19.0,0.0,1.0,0.0,166.44,Phone,CC,Male,Laptop & Accessory,Divorced,3
False,4.0,29.0,3.0,4,2,1,False,21.0,1.0,7.0,8.0,155.82,Phone,CC,Male,Laptop & Accessory,Divorced,1
False,0.0,11.0,2.0,2,5,2,False,12.0,1.0,1.0,5.0,140.0,Computer,Debit Card,Male,Laptop & Accessory,Married,1
False,18.0,26.0,3.0,3,2,1,True,14.0,0.0,7.4,10.0,234.95999999999998,Phone,CC,Male,Grocery,Divorced,1
False,9.0,12.0,2.0,3,2,1,False,11.0,4.0,10.0,11.0,132.1,Phone,Debit Card,Male,Phone,Divorced,1
False,28.0,6.0,2.0,3,5,1,True,14.0,4.6,4.0,13.0,290.45,Phone,CC,Male,Others,Single,1
True,10.0,35.0,2.0,3,4,2,True,12.0,5.0,9.0,7.4,218.49,Computer,Debit Card,Male,Fashion,Divorced,1
False,7.0,15.0,3.0,3,2,2,False,23.0,1.0,1.0,4.0,120.69999999999999,Phone,CC,Male,Phone,Divorced,1
False,10.0,12.0,3.0,3,2,5,False,14.0,0.0,1.0,1.0,165.02,Phone,CC,Male,Laptop & Accessory,Divorced,3
False,0.0,9.0,3.0,4,3,2,False,17.0,1.0,1.0,0.0,132.3,Phone,CC,Male,Phone,Single,1
False,10.0,6.0,0.0,3,2,3,True,18.0,0.0,7.0,2.0,236.02999999999997,Computer,CC,Female,Fashion,Married,1
False,2.0,28.0,3.0,2,4,8,False,18.0,5.0,6.0,5.0,219.95999999999998,Phone,Debit Card,Female,Fashion,Married,1
False,11.0,13.0,2.0,2,5,2,True,24.0,0.0,7.0,7.0,156.05,Phone,CC,Female,Laptop & Accessory,Married,3
False,0.0,6.0,2.0,3,4,2,False,20.0,0.0,1.0,4.0,163.97,Computer,Debit Card,Female,Laptop & Accessory,Married,1
False,23.0,10.0,3.0,3,4,4,False,14.0,1.6,1.0,6.0,291.44,Phone,Debit Card,Male,Others,Married,1
False,26.0,9.0,2.0,3,3,4,True,16.0,2.0,1.0,3.0,275.84,Phone,CC,Male,Grocery,Divorced,1
False,15.0,6.0,2.0,3,3,2,False,25.0,4.0,11.0,6.0,149.07,Phone,Debit Card,Male,Laptop & Accessory,Divorced,3
False,2.0,8.0,2.0,3,2,2,False,18.0,0.0,1.0,9.0,145.54,Computer,Debit Card,Male,Laptop & Accessory,Single,3
False,28.0,26.0,2.0,3,2,4,True,19.0,1.0,1.0,8.0,154.15,Phone,COD,Male,Laptop & Accessory,Divorced,1
False,0.0,17.0,2.0,3,5,2,True,13.0,2.0,3.0,3.0,147.41,Computer,CC,Male,Laptop & Accessory,Divorced,1
False,2.6,6.0,2.0,3,2,2,False,12.0,1.0,5.0,7.0,121.15,Phone,Debit Card,Female,Phone,Single,1
True,7.0,30.0,2.4,3,3,4,True,22.0,0.0,1.0,0.0,131.61,Computer,Debit Card,Male,Phone,Married,1
False,11.0,29.0,2.0,3,2,10,False,14.0,0.0,1.0,2.0,157.45,Phone,Debit Card,Male,Laptop & Accessory,Married,1
True,0.0,14.8,2.0,3,4,3,True,13.0,1.0,1.0,2.0,123.72999999999999,Phone,CC,Male,Phone,Married,1
False,1.0,14.0,3.0,3,2,2,False,21.0,0.0,1.0,2.0,133.1,Phone,Debit Card,Female,Phone,Single,1
False,22.0,16.0,2.0,3,5,10,True,11.0,1.0,1.0,2.0,286.65,Computer,Debit Card,Female,Others,Single,1
False,9.0,9.0,1.0,3,4,5,False,12.0,6.0,7.0,7.0,144.85,Phone,COD,Male,Laptop & Accessory,Single,1
False,4.0,11.0,2.6,3,4,2,False,11.0,0.0,2.0,2.0,127.88999999999999,Computer,E wallet,Female,Phone,Married,3
True,0.0,10.0,2.0,4,2,2,True,12.0,7.0,7.0,4.0,158.28,Phone,E wallet,Male,Laptop & Accessory,Single,3
False,10.0,10.6,2.0,3,2,2,True,12.0,0.0,1.0,2.0,123.25999999999999,Computer,CC,Male,Phone,Divorced,1
False,15.0,32.0,3.0,3,4,6,False,14.0,2.0,6.0,8.0,235.25,Computer,E wallet,Female,Grocery,Divorced,3
True,1.6,9.0,2.0,3,3,2,False,13.0,0.0,1.0,0.0,114.19999999999999,Phone,Debit Card,Male,Phone,Single,1
False,8.0,22.0,3.0,3,4,1,False,15.0,3.0,6.0,9.0,180.2,Phone,E wallet,Male,Fashion,Divorced,3
False,9.0,24.0,2.0,2,2,5,False,18.0,0.0,1.0,0.0,136.88,Computer,Debit Card,Male,Phone,Divorced,1
False,24.0,8.0,2.0,5,4,6,False,18.0,0.0,1.0,2.0,154.82,Phone,CC,Male,Laptop & Accessory,Married,1
False,14.0,8.0,2.0,3,4,2,False,19.0,1.0,4.0,4.0,260.15,Phone,Debit Card,Male,Grocery,Single,3
False,0.0,16.0,3.0,4,3,2,False,12.0,1.0,1.0,0.0,112.0,Phone,CC,Female,Phone,Single,3
False,1.0,22.0,3.0,2,5,1,False,19.0,0.0,1.0,7.0,156.61,Phone,CC,Male,Laptop & Accessory,Single,1
False,4.0,13.0,3.0,2,2,5,False,11.0,3.0,7.0,7.0,169.29,Phone,COD,Male,Laptop & Accessory,Divorced,3
False,12.0,6.0,2.0,2,2,1,False,17.0,3.0,3.0,7.0,196.13,Phone,CC,Male,Fashion,Married,1
False,9.0,30.0,2.0,3,4,8,False,15.0,0.0,1.0,8.0,156.74,Computer,Debit Card,Female,Laptop & Accessory,Divorced,1
False,5.0,13.0,3.0,4,3,2,False,14.0,1.0,4.0,8.0,154.84,Phone,Debit Card,Male,Laptop & Accessory,Divorced,3
False,11.0,31.0,2.0,4,4,4,False,17.0,1.0,1.0,4.2,220.61,Phone,Debit Card,Female,Fashion,Divorced,1
False,30.0,6.0,2.0,5,3,3,True,13.0,1.0,1.0,2.0,156.6,Computer,Debit Card,Male,Laptop & Accessory,Married,1
False,4.0,11.0,2.0,3,2,1,True,12.0,0.0,1.0,3.0,148.21,Phone,COD,Male,Phone,Divorced,1
False,4.0,8.0,3.0,4,5,4,False,12.0,0.0,1.0,0.0,164.1,Phone,UPI,Male,Laptop & Accessory,Divorced,2
False,18.0,13.0,3.0,3,5,2,False,18.0,5.0,9.0,11.0,152.1,Computer,Debit Card,Male,Fashion,Married,1
False,4.0,8.0,2.4,3,2,1,True,18.0,1.0,2.0,2.0,126.94999999999999,Phone,Debit Card,Male,Phone,Married,1
False,6.0,11.0,3.0,3,4,7,False,11.0,2.0,8.0,9.0,218.77999999999997,Computer,Debit Card,Female,Fashion,Divorced,1
False,12.0,16.0,2.0,3,5,2,True,14.0,4.2,11.0,10.0,270.68,Phone,CC,Male,Grocery,Divorced,1
False,16.0,14.0,2.0,3,2,1,False,19.0,0.0,1.0,7.0,124.55000000000001,Computer,Debit Card,Female,Phone,Single,1
False,22.0,6.0,2.0,4,3,8,True,12.0,1.0,2.8,7.0,239.64,Phone,COD,Female,Grocery,Single,1
True,15.0,14.0,2.0,4,4,3,False,15.0,7.0,7.0,7.0,149.41,Phone,CC,Male,Laptop & Accessory,Divorced,1
False,0.0,13.4,2.0,3,4,2,True,12.0,0.0,1.0,2.0,124.78,Phone,Debit Card,Female,Phone,Single,1
False,5.0,14.0,3.0,4,4,2,True,11.0,6.0,11.0,9.0,152.28,Phone,COD,Female,Laptop & Accessory,Divorced,3
False,0.0,8.0,3.0,3,3,2,True,11.0,1.0,1.0,4.0,144.78,Phone,Debit Card,Male,Laptop & Accessory,Single,3
False,4.0,13.0,3.0,3,2,5,False,12.0,0.0,1.0,7.0,175.47,Phone,E wallet,Male,Laptop & Accessory,Married,3
False,5.0,8.0,3.0,2,2,8,False,16.0,1.0,1.0,7.0,150.55,Phone,CC,Female,Laptop & Accessory,Single,1
True,0.0,8.0,2.0,5,2,6,True,13.0,2.0,2.0,2.0,134.64,Phone,CC,Male,Phone,Divorced,1
False,3.0,34.0,3.0,3,2,2,False,13.0,0.0,1.0,9.0,157.75,Phone,CC,Female,Laptop & Accessory,Divorced,1
False,4.0,13.0,2.0,4,3,2,False,24.0,3.0,8.0,9.0,189.43,Computer,Debit Card,Female,Fashion,Divorced,1
False,12.0,5.0,2.0,4,2,2,False,16.8,9.0,13.0,3.0,292.72,Computer,CC,Male,Others,Divorced,1
True,2.0,9.0,2.0,3,3,5,True,18.0,1.0,1.0,0.0,152.38,Phone,CC,Female,Laptop & Accessory,Divorced,3
False,6.0,16.0,2.0,4,2,4,False,14.0,1.0,1.0,1.0,146.82,Computer,E wallet,Male,Laptop & Accessory,Single,3
False,20.0,11.0,2.0,3,3,5,False,11.0,2.2,1.0,1.0,283.0,Phone,Debit Card,Male,Others,Divorced,1
False,16.0,16.0,2.0,4,3,2,False,11.0,0.0,1.0,0.0,152.57,Computer,Debit Card,Female,Laptop & Accessory,Married,1
