Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
False,7,Computer,1,8.0,Debit Card,Male,2,4,Laptop & Accessory,3,Divorced,2,False,17.0,0,1,9,195.47
False,24,Phone,1,9.0,CC,Female,3,3,Grocery,4,Single,4,False,18.0,0,2,0,237.33999999999997
False,25,Phone,1,6.0,Debit Card,Male,3,4,Others,3,Divorced,1,False,15.4,1,11,9,299.99
False,5,Phone,1,15.0,CC,Female,2,3,Phone,4,Single,2,False,16.0,1,1,3,122.78999999999999
True,0,Phone,1,29.0,Debit Card,Male,2,4,Laptop & Accessory,3,Divorced,4,True,13.0,1,1,1,159.16
False,13,Computer,1,13.0,CC,Male,2,2,Phone,2,Married,5,False,14.0,0,2,2,120.88999999999999
False,18,Computer,1,8.0,CC,Male,3,4,Grocery,2,Divorced,10,False,23.0,2,11,8,267.92
False,10,Phone,1,27.0,Debit Card,Male,3,2,Phone,5,Divorced,2,True,12.0,0,1,7,135.64
False,8,Computer,1,8.0,CC,Female,2,3,Laptop & Accessory,4,Single,6,False,11.0,1,1,2,144.25
False,15,Computer,1,27.0,CC,Female,2,3,Laptop & Accessory,3,Married,3,False,16.0,0,1,2,152.65
False,11,Phone,1,8.0,Debit Card,Male,2,3,Laptop & Accessory,3,Divorced,10,False,14.0,0,1,0,165.53
False,11,Phone,1,35.0,COD,Male,2,3,Laptop & Accessory,2,Divorced,4,False,18.0,0,1,7,162.61
False,0,Computer,1,6.0,COD,Male,2,4,Laptop & Accessory,5,Divorced,6,False,19.0,0,2,0,142.98
False,22,Computer,1,24.0,Debit Card,Male,3,3,Laptop & Accessory,2,Married,2,True,15.0,0,1,7,168.04
False,7,Computer,1,16.0,CC,Male,2,3,Phone,3,Married,2,True,17.0,2,2,0,138.15
False,13,Phone,1,25.0,CC,Male,2,3,Laptop & Accessory,2,Divorced,9,True,15.0,1,3,7,127.41
True,1,Phone,1,35.0,CC,Male,3,3,Laptop & Accessory,5,Divorced,8,True,19.0,0,1,0,166.73
True,0,Phone,3,33.0,E wallet,Female,2,3,Fashion,2,Divorced,2,False,22.0,1,1,9,176.39
False,0,Phone,1,21.2,Debit Card,Male,2,2,Phone,4,Married,2,True,16.0,0,2,2,123.28
False,4,Computer,1,24.0,CC,Female,3,3,Phone,2,Single,2,False,13.0,1,1,7,121.53
False,13,Computer,1,15.0,Debit Card,Male,3,4,Laptop & Accessory,2,Divorced,10,False,14.0,1,1,2,148.76
False,19,Phone,1,6.0,CC,Male,3,3,Fashion,5,Married,8,False,16.0,0,1,3,193.96
True,0,Phone,3,10.0,CC,Male,2,5,Fashion,2,Divorced,2,False,11.0,7,9,8,204.0
False,3,Computer,1,6.0,Debit Card,Male,2,4,Fashion,3,Single,2,False,22.0,2,5,8,184.74
False,0,Computer,3,26.0,Debit Card,Female,2,3,Laptop & Accessory,3,Single,2,False,14.0,1,1,7,199.81
False,24,Phone,1,14.0,Debit Card,Male,2,4,Fashion,4,Divorced,6,False,16.0,1,4,4,224.89999999999998
True,0,Phone,1,12.6,COD,Female,2,3,Phone,5,Single,6,True,11.0,1,1,4,126.57
False,14,Phone,3,12.0,Debit Card,Female,3,3,Fashion,2,Single,4,True,18.0,0,6,0,235.91000000000003
True,0,Computer,3,32.0,E wallet,Female,2,4,Laptop & Accessory,5,Single,6,False,15.0,0,1,1,166.96
True,2,Phone,1,6.0,COD,Male,2,3,Phone,3,Single,1,False,14.0,0,1,5,120.58000000000001
False,18,Computer,3,12.0,CC,Female,2,4,Fashion,2,Single,7,False,12.0,12,12,8,188.65
False,27,Phone,3,9.0,E wallet,Female,2,3,Laptop & Accessory,5,Divorced,3,False,14.0,1,1,5,159.4
False,9,Phone,1,11.0,Debit Card,Male,3,3,Laptop & Accessory,4,Single,9,False,16.0,0,3,7,159.14
False,6,Phone,1,22.6,CC,Female,2,4,Phone,4,Divorced,7,False,21.0,0,1,1,126.22
False,10,Computer,1,17.0,UPI,Male,2,3,Fashion,2,Married,2,True,14.0,0,1,9,221.85000000000002
False,11,Phone,3,9.0,Debit Card,Male,3,3,Fashion,3,Married,1,False,12.0,1,5,13,206.08999999999997
False,4,Computer,1,6.0,CC,Male,2,5,Laptop & Accessory,3,Divorced,1,False,12.0,1,1,4,143.45
False,10,Phone,1,9.0,Debit Card,Male,3,4,Phone,2,Divorced,4,False,17.0,0,1,0,121.77000000000001
False,10,Computer,3,10.0,E wallet,Male,2,3,Phone,2,Married,5,False,17.0,1,5,8,0.0
False,2,Computer,3,6.0,CC,Female,2,3,Fashion,2,Divorced,2,False,14.0,4,4,1,179.18
False,8,Computer,3,6.0,E wallet,Female,3,3,Fashion,3,Single,2,False,14.0,1,1,8,187.89
True,0,Phone,1,18.6,CC,Male,2,4,Phone,2,Single,2,True,13.0,0,1,1,123.88999999999999
False,25,Phone,1,8.0,Debit Card,Female,2,4,Phone,2,Single,8,False,15.0,0,2,2,132.12
False,15,Phone,1,10.0,COD,Male,2,3,Others,2,Divorced,2,False,13.4,0,11,15,292.32
False,5,Phone,2,12.0,CC,Male,2,3,Phone,3,Divorced,9,False,17.0,2,2,2,122.66999999999999
False,23,Phone,3,6.0,CC,Female,3,3,Others,2,Married,4,False,14.4,1,1,6,295.17
True,0,Phone,1,6.0,CC,Male,2,3,Phone,2,Divorced,6,True,13.0,0,1,4,124.36000000000001
False,16,Phone,3,22.0,E wallet,Female,3,3,Grocery,2,Divorced,6,True,22.0,0,5,9,260.64
True,0,Phone,1,8.0,Debit Card,Female,3,3,Phone,5,Divorced,8,False,20.0,1,1,7,127.07
False,25,Computer,3,8.0,Debit Card,Male,3,4,Others,3,Single,2,True,18.0,6,15,12,290.68
False,5,Phone,3,10.0,Debit Card,Female,2,3,Phone,4,Divorced,3,False,11.0,1,1,2,139.31
True,0,Phone,1,6.0,Debit Card,Male,3,4,Phone,3,Single,1,True,14.0,1,1,2,137.3
False,10,Phone,1,6.0,CC,Female,3,3,Phone,3,Married,8,False,14.0,0,1,2,122.32
False,5,Computer,3,32.0,E wallet,Male,3,3,Laptop & Accessory,2,Divorced,1,False,18.0,1,2,2,144.65
False,14,Phone,1,25.0,Debit Card,Male,2,3,Laptop & Accessory,5,Married,3,False,16.0,1,1,0,130.72
False,13,Phone,1,30.0,COD,Male,3,3,Laptop & Accessory,2,Married,2,False,17.0,2,4,7,133.19
False,18,Phone,1,6.0,UPI,Male,3,2,Others,2,Divorced,1,False,13.2,1,1,7,292.02
False,4,Computer,1,9.0,CC,Male,3,3,Fashion,3,Married,10,False,12.0,1,9,2,236.75
False,6,Phone,1,11.0,Debit Card,Female,2,4,Phone,2,Divorced,2,False,13.0,0,1,2,129.11
False,7,Phone,1,8.0,Debit Card,Male,2,4,Laptop & Accessory,5,Divorced,7,False,13.0,0,5,9,159.57
False,10,Phone,1,6.0,CC,Female,2,4,Phone,5,Divorced,3,False,14.0,1,1,2,139.2
False,18,Computer,1,13.0,Debit Card,Male,3,2,Laptop & Accessory,3,Divorced,5,False,17.0,0,1,2,164.34
True,0,Computer,1,16.0,CC,Male,3,3,Fashion,3,Married,7,False,11.0,1,1,0,200.48
False,12,Computer,1,8.0,COD,Female,3,3,Fashion,3,Single,1,False,25.0,10,11,5,209.38
False,2,Phone,1,19.2,Debit Card,Male,2,3,Phone,2,Single,2,False,19.0,0,1,5,123.4
False,15,Phone,1,23.0,Debit Card,Female,2,2,Laptop & Accessory,5,Single,4,True,13.0,0,1,2,165.45
False,2,Phone,3,26.0,E wallet,Male,2,3,Laptop & Accessory,2,Married,3,False,14.0,1,1,2,169.31
False,0,Phone,1,6.0,Debit Card,Female,3,3,Laptop & Accessory,3,Divorced,1,False,12.0,1,1,2,148.98
False,15,Phone,1,12.0,CC,Female,2,4,Phone,5,Married,1,True,11.0,4,7,8,125.93
False,13,Phone,1,8.0,CC,Male,2,3,Others,3,Married,1,False,13.2,0,3,9,294.36
False,24,Phone,1,6.0,Debit Card,Male,2,3,Phone,2,Divorced,2,False,11.0,1,1,0,127.22999999999999
True,0,Computer,1,35.0,CC,Male,3,4,Phone,4,Single,1,False,11.0,1,1,4,134.79
False,5,Computer,1,13.0,Debit Card,Male,2,2,Phone,4,Divorced,2,False,20.0,0,1,3,127.94
False,11,Computer,3,8.0,Debit Card,Male,2,4,Laptop & Accessory,2,Divorced,4,False,18.0,6,7,5,152.49
False,6,Phone,1,8.0,COD,Male,2,4,Laptop & Accessory,5,Single,5,False,13.0,0,1,4,121.75999999999999
False,19,Phone,3,8.0,COD,Female,3,5,Grocery,4,Divorced,4,True,12.0,2,7,7,268.72
True,0,Phone,1,8.0,Debit Card,Male,3,3,Phone,3,Single,3,False,11.0,1,1,0,134.85
False,2,Phone,3,8.0,CC,Male,3,4,Laptop & Accessory,4,Divorced,3,False,19.0,0,1,0,166.44
False,4,Phone,1,29.0,CC,Male,3,4,Laptop & Accessory,2,Divorced,1,False,21.0,1,7,8,155.82
False,0,Computer,1,11.0,Debit Card,Male,2,2,Laptop & Accessory,5,Married,2,False,12.0,1,1,5,140.0
False,18,Phone,1,26.0,CC,Male,3,3,Grocery,2,Divorced,1,True,14.0,0,7,10,234.95999999999998
False,9,Phone,1,12.0,Debit Card,Male,2,3,Phone,2,Divorced,1,False,11.0,4,10,11,132.1
False,28,Phone,1,6.0,CC,Male,2,3,Others,5,Single,1,True,14.0,4,4,13,290.45
True,10,Computer,1,35.0,Debit Card,Male,2,3,Fashion,4,Divorced,2,True,12.0,5,9,7,218.49
False,7,Phone,1,15.0,CC,Male,3,3,Phone,2,Divorced,2,False,23.0,1,1,4,120.69999999999999
False,10,Phone,3,12.0,CC,Male,3,3,Laptop & Accessory,2,Divorced,5,False,14.0,0,1,1,165.02
False,0,Phone,1,9.0,CC,Male,3,4,Phone,3,Single,2,False,17.0,1,1,0,132.3
False,10,Computer,1,6.0,CC,Female,0,3,Fashion,2,Married,3,True,18.0,0,7,2,236.02999999999997
False,2,Phone,1,28.0,Debit Card,Female,3,2,Fashion,4,Married,8,False,18.0,5,6,5,219.95999999999998
False,11,Phone,3,13.0,CC,Female,2,2,Laptop & Accessory,5,Married,2,True,24.0,0,7,7,156.05
False,0,Computer,1,6.0,Debit Card,Female,2,3,Laptop & Accessory,4,Married,2,False,20.0,0,1,4,163.97
False,23,Phone,1,10.0,Debit Card,Male,3,3,Others,4,Married,4,False,14.0,1,1,6,291.44
False,26,Phone,1,9.0,CC,Male,2,3,Grocery,3,Divorced,4,True,16.0,2,1,3,275.84
False,15,Phone,3,6.0,Debit Card,Male,2,3,Laptop & Accessory,3,Divorced,2,False,25.0,4,11,6,149.07
False,2,Computer,3,8.0,Debit Card,Male,2,3,Laptop & Accessory,2,Single,2,False,18.0,0,1,9,145.54
False,28,Phone,1,26.0,COD,Male,2,3,Laptop & Accessory,2,Divorced,4,True,19.0,1,1,8,154.15
False,0,Computer,1,17.0,CC,Male,2,3,Laptop & Accessory,5,Divorced,2,True,13.0,2,3,3,147.41
False,2,Phone,1,6.0,Debit Card,Female,2,3,Phone,2,Single,2,False,12.0,1,5,7,121.15
True,7,Computer,1,30.0,Debit Card,Male,2,3,Phone,3,Married,4,True,22.0,0,1,0,131.61
False,11,Phone,1,29.0,Debit Card,Male,2,3,Laptop & Accessory,2,Married,10,False,14.0,0,1,2,157.45
True,0,Phone,1,14.8,CC,Male,2,3,Phone,4,Married,3,True,13.0,1,1,2,123.72999999999999
False,1,Phone,1,14.0,Debit Card,Female,3,3,Phone,2,Single,2,False,21.0,0,1,2,133.1
False,22,Computer,1,16.0,Debit Card,Female,2,3,Others,5,Single,10,True,11.0,1,1,2,286.65
False,9,Phone,1,9.0,COD,Male,1,3,Laptop & Accessory,4,Single,5,False,12.0,6,7,7,144.85
False,4,Computer,3,11.0,E wallet,Female,2,3,Phone,4,Married,2,False,11.0,0,2,2,127.88999999999999
True,0,Phone,3,10.0,E wallet,Male,2,4,Laptop & Accessory,2,Single,2,True,12.0,7,7,4,158.28
False,10,Computer,1,10.6,CC,Male,2,3,Phone,2,Divorced,2,True,12.0,0,1,2,123.25999999999999
False,15,Computer,3,32.0,E wallet,Female,3,3,Grocery,4,Divorced,6,False,14.0,2,6,8,235.25
True,1,Phone,1,9.0,Debit Card,Male,2,3,Phone,3,Single,2,False,13.0,0,1,0,114.19999999999999
False,8,Phone,3,22.0,E wallet,Male,3,3,Fashion,4,Divorced,1,False,15.0,3,6,9,180.2
False,9,Computer,1,24.0,Debit Card,Male,2,2,Phone,2,Divorced,5,False,18.0,0,1,0,136.88
False,24,Phone,1,8.0,CC,Male,2,5,Laptop & Accessory,4,Married,6,False,18.0,0,1,2,154.82
False,14,Phone,3,8.0,Debit Card,Male,2,3,Grocery,4,Single,2,False,19.0,1,4,4,260.15
False,0,Phone,3,16.0,CC,Female,3,4,Phone,3,Single,2,False,12.0,1,1,0,112.0
False,1,Phone,1,22.0,CC,Male,3,2,Laptop & Accessory,5,Single,1,False,19.0,0,1,7,156.61
False,4,Phone,3,13.0,COD,Male,3,2,Laptop & Accessory,2,Divorced,5,False,11.0,3,7,7,169.29
False,12,Phone,1,6.0,CC,Male,2,2,Fashion,2,Married,1,False,17.0,3,3,7,196.13
False,9,Computer,1,30.0,Debit Card,Female,2,3,Laptop & Accessory,4,Divorced,8,False,15.0,0,1,8,156.74
False,5,Phone,3,13.0,Debit Card,Male,3,4,Laptop & Accessory,3,Divorced,2,False,14.0,1,4,8,154.84
False,11,Phone,1,31.0,Debit Card,Female,2,4,Fashion,4,Divorced,4,False,17.0,1,1,4,220.61
False,30,Computer,1,6.0,Debit Card,Male,2,5,Laptop & Accessory,3,Married,3,True,13.0,1,1,2,156.6
False,4,Phone,1,11.0,COD,Male,2,3,Phone,2,Divorced,1,True,12.0,0,1,3,148.21
False,4,Phone,2,8.0,UPI,Male,3,4,Laptop & Accessory,5,Divorced,4,False,12.0,0,1,0,164.1
False,18,Computer,1,13.0,Debit Card,Male,3,3,Fashion,5,Married,2,False,18.0,5,9,11,152.1
False,4,Phone,1,8.0,Debit Card,Male,2,3,Phone,2,Married,1,True,18.0,1,2,2,126.94999999999999
False,6,Computer,1,11.0,Debit Card,Female,3,3,Fashion,4,Divorced,7,False,11.0,2,8,9,218.77999999999997
False,12,Phone,1,16.0,CC,Male,2,3,Grocery,5,Divorced,2,True,14.0,4,11,10,270.68
False,16,Computer,1,14.0,Debit Card,Female,2,3,Phone,2,Single,1,False,19.0,0,1,7,124.55000000000001
False,22,Phone,1,6.0,COD,Female,2,4,Grocery,3,Single,8,True,12.0,1,2,7,239.64
True,15,Phone,1,14.0,CC,Male,2,4,Laptop & Accessory,4,Divorced,3,False,15.0,7,7,7,149.41
False,0,Phone,1,13.4,Debit Card,Female,2,3,Phone,4,Single,2,True,12.0,0,1,2,124.78
False,5,Phone,3,14.0,COD,Female,3,4,Laptop & Accessory,4,Divorced,2,True,11.0,6,11,9,152.28
False,0,Phone,3,8.0,Debit Card,Male,3,3,Laptop & Accessory,3,Single,2,True,11.0,1,1,4,144.78
False,4,Phone,3,13.0,E wallet,Male,3,3,Laptop & Accessory,2,Married,5,False,12.0,0,1,7,175.47
False,5,Phone,1,8.0,CC,Female,3,2,Laptop & Accessory,2,Single,8,False,16.0,1,1,7,150.55
True,0,Phone,1,8.0,CC,Male,2,5,Phone,2,Divorced,6,True,13.0,2,2,2,134.64
False,3,Phone,1,34.0,CC,Female,3,3,Laptop & Accessory,2,Divorced,2,False,13.0,0,1,9,157.75
False,4,Computer,1,13.0,Debit Card,Female,2,4,Fashion,3,Divorced,2,False,24.0,3,8,9,189.43
False,12,Computer,1,5.0,CC,Male,2,4,Others,2,Divorced,2,False,16.8,9,13,3,292.72
True,2,Phone,3,9.0,CC,Female,2,3,Laptop & Accessory,3,Divorced,5,True,18.0,1,1,0,152.38
False,6,Computer,3,16.0,E wallet,Male,2,4,Laptop & Accessory,2,Single,4,False,14.0,1,1,1,146.82
False,20,Phone,1,11.0,Debit Card,Male,2,3,Others,3,Divorced,5,False,11.0,2,1,1,283.0
False,16,Computer,1,16.0,Debit Card,Female,2,4,Laptop & Accessory,3,Married,2,False,11.0,0,1,0,152.57
False,0,Computer,3,6.0,E wallet,Male,3,3,Laptop & Accessory,4,Divorced,1,True,13.0,0,1,4,163.49
False,27,Computer,1,26.0,Debit Card,Female,2,3,Laptop & Accessory,3,Single,4,False,12.0,1,1,3,148.69
False,16,Phone,1,13.0,Debit Card,Female,2,3,Fashion,5,Divorced,9,False,16.0,1,1,0,199.85
False,18,Phone,1,14.0,UPI,Male,3,3,Laptop & Accessory,2,Divorced,10,False,14.0,7,9,8,136.97
False,13,Phone,3,6.0,CC,Male,2,5,Laptop & Accessory,2,Divorced,3,True,22.0,1,1,2,174.57
True,3,Phone,1,14.0,UPI,Male,3,5,Phone,5,Divorced,2,True,11.0,1,1,7,121.19
False,2,Phone,1,15.0,UPI,Male,1,4,Phone,2,Single,1,False,17.0,2,2,2,139.83
False,3,Phone,3,11.0,E wallet,Female,1,4,Laptop & Accessory,3,Married,2,False,13.0,0,1,2,161.18
False,0,Phone,3,14.0,E wallet,Female,2,3,Laptop & Accessory,4,Divorced,2,False,18.0,0,1,7,162.14
False,10,Phone,1,11.0,CC,Male,3,3,Laptop & Accessory,2,Married,8,False,16.0,0,1,4,163.47
False,11,Phone,1,21.0,Debit Card,Male,3,4,Fashion,2,Married,1,True,14.0,1,2,8,215.10000000000002
False,4,Phone,1,13.0,CC,Female,2,3,Fashion,2,Single,2,True,14.0,2,4,10,171.43
False,2,Phone,3,16.0,E wallet,Female,2,4,Laptop & Accessory,4,Married,2,True,14.0,0,1,7,182.68
False,8,Phone,1,11.0,COD,Male,3,3,Fashion,4,Single,1,False,13.0,0,1,13,180.95
False,0,Phone,1,32.0,Debit Card,Male,2,3,Phone,2,Married,2,False,12.0,1,1,2,129.04
False,14,Phone,1,12.0,CC,Male,3,4,Laptop & Accessory,4,Single,7,True,15.0,1,1,2,160.32
False,20,Computer,3,10.0,CC,Male,3,3,Laptop & Accessory,3,Single,4,False,19.0,0,1,0,129.76
False,15,Phone,1,29.0,Debit Card,Female,2,3,Grocery,2,Single,3,False,14.0,0,4,0,259.92
False,2,Computer,3,8.0,Debit Card,Male,3,3,Laptop & Accessory,3,Divorced,2,False,14.0,1,1,2,146.49
False,15,Phone,2,8.0,COD,Male,2,3,Phone,3,Married,1,True,11.0,1,1,0,126.96000000000001
False,5,Phone,1,18.2,CC,Female,3,3,Phone,4,Divorced,2,False,13.0,0,1,7,123.69999999999999
False,21,Phone,3,35.0,CC,Female,3,3,Fashion,3,Divorced,4,False,21.0,0,1,4,225.04000000000002
False,10,Phone,1,12.0,CC,Male,2,2,Laptop & Accessory,5,Married,5,True,13.0,2,6,7,159.74
False,3,Computer,3,31.0,COD,Female,2,3,Laptop & Accessory,3,Divorced,8,True,12.0,1,2,2,147.36
False,0,Phone,3,6.0,Debit Card,Male,2,3,Laptop & Accessory,3,Divorced,2,False,17.0,2,7,7,152.96
False,15,Phone,1,8.0,UPI,Male,3,4,Laptop & Accessory,2,Single,4,False,23.0,0,1,0,167.81
True,1,Computer,3,6.0,COD,Female,2,4,Phone,4,Single,2,True,11.0,1,1,2,121.74000000000001
False,9,Computer,3,6.0,CC,Female,2,3,Laptop & Accessory,2,Single,5,False,15.0,1,1,0,166.53
False,9,Computer,3,9.0,CC,Male,2,4,Fashion,2,Divorced,5,False,11.0,0,1,12,196.99
False,30,Phone,1,6.0,CC,Male,2,3,Laptop & Accessory,3,Divorced,3,False,11.0,1,1,2,167.55
False,7,Phone,1,16.0,Debit Card,Female,2,2,Phone,3,Divorced,4,True,13.0,0,1,7,122.13
False,0,Computer,3,25.6,CC,Male,2,3,Phone,2,Single,2,False,24.0,0,2,2,126.1
True,0,Phone,3,11.0,E wallet,Female,2,3,Phone,3,Single,2,True,13.0,1,1,0,128.51
False,10,Phone,1,16.0,CC,Female,3,3,Phone,5,Divorced,7,False,20.0,1,1,3,134.52
False,19,Computer,1,13.0,CC,Female,1,3,Laptop & Accessory,3,Divorced,3,False,14.0,0,1,0,152.58
True,4,Computer,3,10.0,E wallet,Male,2,3,Laptop & Accessory,4,Single,2,False,18.0,7,7,7,193.55
False,23,Phone,1,16.0,COD,Male,3,4,Fashion,2,Single,7,False,15.0,0,1,3,204.96
