Churn,Tenure,WarehouseToHome,HourSpendOnApp,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,PreferredLoginDevice_Computer,PreferredLoginDevice_Phone,PreferredPaymentMode_CC,PreferredPaymentMode_COD,PreferredPaymentMode_Debit Card,PreferredPaymentMode_E wallet,PreferredPaymentMode_UPI,Gender_Female,Gender_Male,PreferedOrderCat_Fashion,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Others,PreferedOrderCat_Phone,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,CityTier_1,CityTier_2,CityTier_3
0.0,2.0,6.0,2.0,3,3,2,0.0,13.0,0.0,1.0,9.0,143.19,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,13.0,2.0,4,3,3,0.0,17.0,1.0,1.0,0.0,161.32,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,30.0,15.0,3.0,4,4,5,1.0,20.0,1.0,1.0,0.0,133.46,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,13.0,10.0,3.0,4,2,8,0.0,11.0,2.0,2.0,11.0,208.55,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,10.10234450999956,8.0,3.0,3,3,7,0.0,18.0,1.0,1.0,2.0,122.31,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,15.978464472463981,3.0,3,2,2,0.0,24.0,0.0,2.0,2.0,123.22999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,9.974202905293854,15.0,2.0,3,4,7,0.0,18.0,0.0,2.0,2.0,120.24000000000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,1.0,27.0,2.612576098324272,3,2,2,0.0,11.0,0.0,1.0,2.0,127.13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,30.0,30.0,2.0,2,2,4,1.0,16.0,1.0,1.0,4.0,194.39,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,15.943351666593486,3.0,4,3,2,1.0,15.0,0.0,1.0,1.0,125.66,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,23.0,17.0,2.0,3,4,4,0.0,15.365633290423798,2.0,4.0,4.0,299.26,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,14.0,13.797316881045626,2.0,3,3,5,0.0,12.0,1.0,1.0,8.0,124.50999999999999,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,3.0,11.0,2.0,3,2,3,0.0,12.0,2.0,7.0,4.0,194.19,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,11.0,6.0,2.0,4,2,5,0.0,22.0,1.0,1.0,1.0,186.86,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,5.0,12.0,2.7358682360438746,3,3,4,0.0,20.0,0.0,1.0,4.0,130.38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,23.0,2.729218089583816,3,4,1,1.0,16.0,1.0,1.0,1.0,130.58,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,16.488000931735495,3.0,5,5,1,0.0,21.0,1.0,1.0,0.0,123.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,8.623381700461502,9.0,1.0,3,4,5,0.0,12.0,4.0,7.0,2.0,120.88,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,3.0,15.0,2.2087994115955887,3,5,2,0.0,11.0,0.0,6.0,10.0,130.72,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,18.0,10.0,1.0,3,5,5,1.0,11.0,0.0,1.0,3.0,150.06,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,29.0,14.0,3.0,3,5,5,1.0,18.0,1.0,2.0,2.0,142.57,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,6.0,13.637250436561395,2.0,3,2,1,0.0,14.0,0.0,1.0,2.0,125.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,8.0,2.0,4,2,2,0.0,22.0,0.0,1.0,0.0,111.02000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,19.0,6.0,3.0,3,5,2,0.0,25.0,4.0,15.0,7.0,204.53,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,6.431840659715135,15.0,3.0,3,2,2,0.0,12.0,1.0,2.0,1.0,122.88,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,4.0,18.0,3.0,3,2,9,1.0,23.0,1.0,1.0,2.0,139.29,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,6.8882677717184455,33.0,3.0,3,4,3,0.0,15.0,1.0,1.0,2.0,123.11000000000001,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,4.0,26.0,2.810654186296424,3,4,2,1.0,22.0,0.0,1.0,2.0,131.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,23.0,6.0,2.0,4,3,3,0.0,15.0,0.0,1.0,2.0,136.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,26.0,19.0,2.0,2,5,2,0.0,11.0,1.0,1.0,3.0,144.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,6.0,20.0,2.7086258770738683,3,4,2,0.0,13.0,0.0,1.0,6.0,127.56,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,13.0,10.0,2.0,3,3,2,0.0,14.0,4.272516158083052,9.0,9.0,290.33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,28.0,20.0,3.0,2,4,9,0.0,11.0,0.7116264265923553,2.0,15.0,287.22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,7.0,8.0,2.0,4,3,2,0.0,17.0,0.0,1.0,9.0,195.47,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,24.0,9.0,3.0,3,4,4,0.0,18.0,0.0,1.1272583808737755,0.0,237.33999999999997,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,25.0,6.0,3.0,4,3,1,0.0,15.480845081258034,1.0,11.0,9.0,299.99,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,6.2496157081413894,15.0,2.0,3,4,2,0.0,16.0,1.0,1.0,3.0,122.78999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,29.0,2.0,4,3,4,1.0,13.0,1.0,1.0,1.0,159.16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,8.492994978904001,13.0,2.0,2,2,5,0.0,14.0,0.0,2.0,2.0,120.88999999999999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,18.0,8.0,3.0,4,2,10,0.0,23.0,6.034723318519433,11.0,8.0,267.92,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,10.0,27.0,3.0,2,5,2,1.0,12.0,0.0,1.0,7.0,135.64,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,8.0,8.0,2.0,3,4,6,0.0,11.0,1.0,1.0,2.0,144.25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,15.0,27.0,2.0,3,3,3,0.0,16.0,0.0,1.0,2.0,152.65,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,11.0,8.0,2.0,3,3,10,0.0,14.0,0.0,1.0,0.0,165.53,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,11.0,35.0,2.0,3,2,4,0.0,18.0,0.0,1.0,7.0,162.61,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,6.0,2.0,4,5,6,0.0,19.0,0.0,2.0,0.0,142.98,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,22.0,24.0,3.0,3,2,2,1.0,15.0,0.0,1.0,7.0,168.04,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,7.0,16.0,2.0,3,3,2,1.0,17.0,2.0,2.0,0.0,138.15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,13.0,25.0,2.446548515950183,3,2,9,1.0,15.0,1.0,3.0,7.0,127.41,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,35.0,3.0,3,5,8,1.0,19.0,0.0,1.0,0.0,166.73,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,33.0,2.0,3,2,2,0.0,22.0,1.0,1.0,9.0,176.39,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,14.45478588113516,2.0,2,4,2,1.0,16.0,0.0,2.0,2.0,123.28,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,6.0140976460194295,24.0,3.0,3,2,2,0.0,13.0,1.0,1.0,7.0,121.53,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,13.0,15.0,3.0,4,2,10,0.0,14.0,1.0,1.0,2.0,148.76,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,19.0,6.0,3.0,3,5,8,0.0,16.0,0.0,1.0,3.0,193.96,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.0,10.0,2.0,5,2,2,0.0,11.0,7.0,9.0,8.0,204.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,3.0,6.0,2.0,4,3,2,0.0,22.0,2.0,5.0,8.0,184.74,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,26.0,2.0,3,3,2,0.0,14.0,1.0,1.0,7.0,199.81,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,24.0,14.0,2.0,4,4,6,0.0,16.0,1.0,4.0,6.029663583586135,224.89999999999998,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,14.6999560248643,2.0,3,5,6,1.0,11.0,1.0,1.0,4.0,126.57,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,14.0,12.0,3.0,3,2,4,1.0,18.0,0.0,0.539652068561739,0.0,235.91000000000003,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,32.0,2.0,4,5,6,0.0,15.0,0.0,1.0,1.0,166.96,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1.0,0.0,6.0,2.0,3,3,1,0.0,14.0,0.0,1.0,5.0,120.58000000000001,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,18.0,12.0,2.0,4,2,7,0.0,12.0,12.0,12.0,8.0,188.65,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,27.0,9.0,2.0,3,5,3,0.0,14.0,1.0,1.0,5.0,159.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,9.0,11.0,3.0,3,4,9,0.0,16.0,0.0,3.0,7.0,159.14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.0,6.0,14.335203048299224,2.0,4,4,7,0.0,21.0,0.0,1.0,1.0,126.22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,10.0,17.0,2.0,3,2,2,1.0,14.0,0.0,1.0,4.931655707384283,221.85000000000002,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,11.0,9.0,3.0,3,3,1,0.0,12.0,1.0,5.0,13.0,206.08999999999997,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,4.0,6.0,2.0,5,3,1,0.0,12.0,1.0,1.0,4.0,143.45,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,8.163709999733195,9.0,3.0,4,2,4,0.0,17.0,0.0,1.0,0.0,121.77000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,10.0,10.0,2.0,3,2,5,0.0,17.0,1.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,2.0,6.0,2.0,3,2,2,0.0,14.0,4.0,4.0,1.0,179.18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
