NumberOfAddress,Complain,OrderAmountHikeFromlastYear,OrderCount,DaySinceLastOrder,CashbackAmount,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,CouponUsed
6,false,23,2,1,145.29281332,false,1,Computer,1,9,Debit Card,Male,4,4,Phone,5,Married,2
3,false,20,2,5,151.55459365,false,4,Phone,1,17,Debit Card,Male,4,5,Phone,2,Single,1
2,true,19,5,8,242.7162431,false,2,Phone,1,15,Debit Card,Male,4,4,Grocery,1,Single,4
2,true,23,2,8,261.98101887,true,1,Phone,3,26,Debit Card,Male,2,2,Fashion,4,Married,1
1,false,17,7,7,149.48256838,false,0,Phone,3,10,UPI,Male,3,5,Laptop & Accessory,3,Divorced,3
6,false,15,2,9,146.88882313,false,3,Computer,1,16,Debit Card,Female,4,4,Phone,4,Single,1
8,true,14,1,3,121.28428249,false,9,Phone,1,8,CC,Male,3,3,Phone,5,Divorced,1
4,false,13,8,9,191.61252439,false,24,Phone,1,17,CC,Female,4,4,Laptop & Accessory,5,Married,2
2,false,13,3,3,120.42619154,false,0,Phone,1,9,CC,Male,2,3,Phone,3,Married,1
1,false,14,1,3,221.23338179,false,2,Computer,1,26,Debit Card,Female,2,3,Grocery,5,Single,0
3,false,21,2,8,152.00440848,false,25,Phone,1,13,Debit Card,Male,2,3,Phone,3,Married,2
3,true,12,1,1,152.00818241,false,15,Computer,3,13,Debit Card,Male,2,4,Laptop & Accessory,4,Married,0
2,true,20,4,8,161.86702619,false,0,Phone,3,29,CC,Female,3,2,Laptop & Accessory,2,Married,0
4,false,25,1,6,154.22389466,false,15,Computer,1,9,Debit Card,Female,1,3,Laptop & Accessory,3,Single,1
3,true,12,2,1,143.57405393,true,2,Phone,1,15,Debit Card,Male,4,4,Phone,5,Single,1
4,false,12,7,7,175.1563592,false,9,Phone,1,18,COD,Female,2,1,Fashion,4,Married,3
3,false,16,1,2,121.41416609,false,1,Phone,3,14,E wallet,Female,3,3,Phone,1,Single,1
2,false,15,2,11,243.1322503,false,9,Phone,3,7,E wallet,Female,3,4,Grocery,4,Married,2
3,false,20,2,8,168.78047915,false,5,Phone,1,36,CC,Male,3,4,Laptop & Accessory,4,Single,1
2,false,17,8,5,163.04258509,false,7,Phone,1,14,CC,Male,4,4,Phone,3,Married,1
6,false,17,2,4,192.19125851,false,19,Phone,1,10,UPI,Female,3,2,Laptop & Accessory,5,Divorced,2
3,false,21,2,5,145.28797763,true,20,Phone,1,21,Debit Card,Male,3,5,Phone,3,Single,2
5,true,21,8,1,181.33930355,false,1,Computer,3,25,UPI,Male,2,5,Laptop & Accessory,5,Single,3
3,true,14,7,8,185.78657787,false,11,Computer,1,11,CC,Male,3,5,Fashion,4,Divorced,1
5,true,13,2,3,224.05236775,false,18,Phone,1,7,Debit Card,Male,4,4,Fashion,3,Single,2
3,true,17,2,8,187.82265651,false,1,Phone,1,15,Debit Card,Male,4,2,Phone,3,Married,1
6,false,14,1,0,122.35783655,false,9,Computer,1,35,CC,Male,3,3,Phone,3,Married,1
7,false,23,3,3,148.6913272,false,20,Phone,1,9,Debit Card,Male,3,4,Phone,5,Divorced,1
2,false,11,11,6,134.50121917,true,0,Phone,1,10,CC,Male,2,5,Phone,3,Single,4
1,true,12,4,7,154.37495847,false,8,Phone,1,28,CC,Male,3,3,Others,1,Married,0
6,false,12,2,1,145.92960327,true,1,Phone,2,7,COD,Male,3,5,Phone,3,Married,1
4,false,21,2,3,146.01124278,false,14,Phone,1,7,CC,Male,3,2,Phone,5,Single,2
5,true,12,2,3,176.6386653,false,13,Phone,1,25,CC,Female,3,4,Laptop & Accessory,1,Married,1
6,false,15,7,8,192.76186473,false,12,Phone,3,23,Debit Card,Male,3,4,Laptop & Accessory,3,Single,1
2,false,21,5,8,198.93348319,false,3,Computer,3,8,E wallet,Male,2,4,Laptop & Accessory,2,Single,0
1,false,17,1,3,220.29998604,false,13,Phone,1,8,Debit Card,Male,3,3,Fashion,3,Married,1
5,false,17,1,2,138.96558748,true,0,Phone,1,17,CC,Female,3,4,Phone,5,Single,0
10,false,13,1,4,138.72240322,true,3,Phone,1,35,Debit Card,Male,3,3,Laptop & Accessory,2,Single,0
5,true,13,1,4,275.04323253,false,28,Phone,1,27,UPI,Male,2,4,Grocery,4,Married,0
2,true,18,4,0,124.52130924,true,7,Phone,3,14,UPI,Female,3,4,Phone,3,Single,0
3,true,14,5,4,261.44586686,false,1,Computer,1,19,CC,Female,4,4,Laptop & Accessory,5,Divorced,2
2,true,13,13,4,148.67186631,true,14,Computer,1,13,Debit Card,Male,4,4,Phone,4,Divorced,2
5,false,19,3,18,163.76141049,false,14,Phone,1,10,Debit Card,Male,4,4,Phone,3,Single,1
5,false,11,1,0,122.45652457,false,24,Phone,1,8,CC,Female,2,3,Phone,3,Married,0
3,true,13,12,3,195.03783298,true,8,Phone,1,7,COD,Male,2,3,Fashion,1,Married,3
3,false,17,2,1,151.38246322,false,1,Computer,3,7,COD,Male,4,4,Phone,2,Single,2
3,false,15,2,8,148.73166364,false,1,Phone,1,17,Debit Card,Female,4,4,Phone,3,Single,1
5,false,14,1,2,131.83393993,false,6,Computer,1,22,Debit Card,Male,2,3,Phone,3,Divorced,1
5,false,15,2,4,164.08217623,false,7,Computer,1,7,Debit Card,Male,4,3,Phone,1,Married,1
5,false,13,1,3,130.42639151,false,7,Phone,1,8,Debit Card,Male,3,1,Phone,3,Divorced,0
2,true,11,1,7,141.24345809,true,0,Phone,3,25,Debit Card,Female,3,4,Laptop & Accessory,3,Single,0
6,true,14,2,4,322.13027531,false,19,Phone,1,30,Debit Card,Female,4,4,Others,3,Married,2
2,false,21,1,0,129.99516438,false,7,Phone,2,30,Debit Card,Male,3,3,Phone,5,Married,0
1,false,12,1,3,143.14274123,false,0,Phone,3,24,Debit Card,Female,2,3,Laptop & Accessory,3,Single,1
3,true,26,2,3,149.42759408,true,1,Computer,1,29,Debit Card,Female,4,4,Phone,3,Single,2
3,false,23,2,4,175.17371667,false,1,Phone,3,11,E wallet,Male,3,5,Laptop & Accessory,4,Divorced,2
2,false,11,1,4,162.30749474,false,0,Phone,3,32,CC,Male,3,4,Laptop & Accessory,5,Single,0
3,true,24,1,1,157.11574002,false,25,Phone,1,23,Debit Card,Female,3,5,Fashion,3,Single,1
2,false,13,3,7,125.63180329,false,5,Phone,1,14,Debit Card,Male,2,3,Phone,3,Single,3
3,false,16,1,2,130.27327756,true,0,Computer,1,5,COD,Female,3,4,Phone,3,Married,1
4,true,15,1,0,142.4759579,false,23,Phone,1,34,CC,Female,2,3,Laptop & Accessory,5,Single,0
2,false,17,2,4,157.11094356,false,13,Phone,3,27,Debit Card,Male,3,5,Phone,5,Married,1
5,false,11,4,9,151.98171648,false,12,Phone,1,9,UPI,Male,2,3,Phone,1,Divorced,2
4,true,21,1,3,209.05623318,false,13,Phone,1,14,Debit Card,Male,3,3,Grocery,1,Married,1
3,false,15,4,2,133.18857964,false,3,Phone,1,28,CC,Male,3,3,Phone,5,Married,4
9,true,14,3,3,148.97011777,false,31,Phone,1,17,CC,Male,3,5,Phone,5,Married,3
9,false,16,15,16,244.14860514,false,12,Phone,1,14,Debit Card,Female,3,1,Grocery,5,Married,4
10,false,12,7,7,159.07049688,false,14,Phone,3,9,CC,Female,3,4,Laptop & Accessory,5,Divorced,5
3,false,19,2,3,145.40971233,false,1,Phone,1,18,Debit Card,Male,3,2,Phone,1,Single,1
9,false,17,2,6,174.49037718,false,19,Computer,1,35,Debit Card,Male,4,4,Laptop & Accessory,1,Married,1
4,false,13,2,1,261.90400889,false,12,Phone,1,9,Debit Card,Female,3,5,Grocery,1,Single,1
6,false,14,1,2,117.35339372,true,9,Phone,1,26,CC,Female,3,3,Phone,4,Single,1
4,false,19,2,1,199.55868076,false,9,Phone,1,9,Debit Card,Male,4,4,Fashion,2,Divorced,1
4,false,15,2,9,230.92140787,true,10,Phone,1,22,CC,Male,4,6,Fashion,5,Divorced,1
3,false,24,1,1,145.54728121,false,1,Phone,3,24,Debit Card,Male,3,4,Phone,5,Divorced,0
2,false,23,1,4,141.65780657,false,25,Computer,1,6,Debit Card,Female,2,4,Laptop & Accessory,4,Married,0
2,true,25,1,0,116.82244353,false,9,Phone,1,34,COD,Male,2,4,Phone,1,Single,1
8,false,14,2,1,233.98012877,false,24,Phone,3,12,E wallet,Male,3,3,Fashion,3,Married,2
6,false,15,2,1,144.97703853,false,12,Phone,3,15,Debit Card,Male,3,4,Phone,5,Single,2
4,true,12,2,2,147.86165651,false,1,Phone,2,27,UPI,Male,3,4,Laptop & Accessory,2,Divorced,2
2,false,12,2,11,149.30369936,false,1,Phone,1,21,Debit Card,Male,3,4,Phone,4,Divorced,2
3,false,11,1,3,147.29761997,false,2,Phone,1,8,Debit Card,Female,2,3,Laptop & Accessory,5,Single,1
10,false,14,1,3,41.00150157,false,9,Phone,1,18,Debit Card,Male,3,4,Laptop & Accessory,5,Single,1
3,true,14,2,1,158.3075458,false,1,Computer,1,34,CC,Female,4,2,Phone,1,Married,1
8,false,14,2,2,159.16803917,false,9,Phone,1,21,Debit Card,Male,4,5,Laptop & Accessory,5,Single,2
3,false,15,12,8,290.06644961,false,13,Phone,1,29,CC,Female,3,3,Grocery,3,Married,3
6,false,15,12,8,211.89610755,false,26,Phone,1,25,COD,Female,4,4,Fashion,1,Married,4
2,false,15,2,1,146.6815282,false,8,Phone,1,7,UPI,Male,4,4,Phone,4,Divorced,2
3,false,12,2,4,232.54373373,false,3,Phone,1,7,Debit Card,Female,4,4,Fashion,5,Single,2
4,true,12,2,5,176.6830275,false,11,Computer,2,22,UPI,Male,3,4,Laptop & Accessory,4,Married,1
3,false,15,2,3,148.79524478,true,1,Phone,3,14,COD,Female,4,4,Phone,3,Married,2
9,false,15,2,1,145.31935797,true,1,Phone,1,9,CC,Male,3,5,Phone,5,Married,1
2,false,14,2,2,118.80756505,false,9,Computer,1,9,CC,Female,4,4,Phone,3,Divorced,1
10,true,14,1,3,288.68609955,false,22,Phone,1,12,Debit Card,Female,2,4,Grocery,4,Single,1
8,false,11,1,2,198.80034377,false,12,Phone,2,8,UPI,Male,2,4,Fashion,3,Married,0
8,false,21,2,2,322.82511113,false,22,Computer,1,29,Debit Card,Female,3,4,Others,3,Divorced,1
5,false,14,2,1,180.08685001,false,10,Phone,3,10,CC,Male,3,4,Laptop & Accessory,3,Married,1
3,false,19,2,1,145.30233945,true,1,Phone,1,7,CC,Male,3,5,Phone,3,Single,2
3,false,13,14,7,261.81570083,false,21,Computer,3,20,E wallet,Female,3,4,Grocery,4,Married,3
2,false,11,4,1,141.53369921,true,6,Phone,2,31,Debit Card,Female,3,4,Laptop & Accessory,1,Married,1
3,false,11,7,6,154.33923942,false,0,Phone,3,15,UPI,Male,2,3,Laptop & Accessory,1,Married,4
7,false,14,1,2,139.24700523,false,8,Phone,1,17,CC,Male,2,4,Phone,1,Married,1
2,true,13,3,2,159.32604948,true,1,Phone,1,27,CC,Male,3,4,Phone,5,Single,1
11,true,17,2,6,172.5983713,false,12,Phone,1,12,Debit Card,Male,3,2,Laptop & Accessory,3,Married,1
4,false,19,1,0,142.00690274,false,8,Phone,3,16,CC,Male,2,4,Laptop & Accessory,3,Married,0
6,false,15,2,5,172.0301535,true,10,Computer,1,9,CC,Male,3,4,Laptop & Accessory,2,Single,2
3,false,11,7,5,208.06358931,false,16,Phone,1,34,UPI,Female,3,3,Fashion,5,Married,4
4,false,15,1,0,286.82056764,false,13,Phone,1,14,Debit Card,Male,2,3,Others,3,Married,1
7,false,18,2,14,324.14025614,false,24,Phone,1,19,Debit Card,Female,3,2,Others,4,Married,3
8,false,20,2,1,190.35145004,false,7,Computer,1,12,Debit Card,Male,3,3,Laptop & Accessory,3,Single,2
2,false,12,3,3,152.67568916,false,1,Phone,3,21,CC,Male,3,4,Phone,4,Divorced,3
3,false,26,4,9,159.16692942,false,2,Phone,3,18,Debit Card,Male,3,4,Phone,1,Single,1
10,false,22,2,1,144.73036824,true,22,Computer,1,19,Debit Card,Female,4,4,Phone,4,Married,1
9,false,12,2,3,154.42699481,false,8,Computer,1,31,Debit Card,Female,3,3,Laptop & Accessory,3,Married,1
2,false,22,2,3,231.87964706,false,25,Phone,2,14,UPI,Female,3,5,Fashion,3,Single,2
3,true,12,2,5,160.29961817,true,2,Phone,2,9,CC,Male,3,4,Phone,4,Divorced,1
3,true,19,1,1,139.04048684,false,1,Phone,3,15,Debit Card,Male,3,6,Phone,3,Single,0
4,false,12,1,2,138.65860325,false,1,Computer,1,11,CC,Male,3,5,Phone,5,Single,1
3,true,25,7,8,146.21061682,true,3,Phone,1,8,Debit Card,Male,3,5,Phone,3,Married,3
2,false,22,1,2,120.77313654,false,9,Phone,1,26,COD,Male,3,3,Phone,3,Married,1
2,true,19,2,3,151.11937448,true,1,Phone,3,9,Debit Card,Male,4,4,Phone,3,Married,1
3,false,14,4,2,161.10164648,false,5,Phone,1,15,UPI,Female,4,4,Phone,5,Married,1
2,false,16,2,5,173.21889472,false,1,Phone,1,12,CC,Male,4,5,Laptop & Accessory,5,Married,1
2,true,25,2,1,149.39095864,true,1,Phone,3,36,Debit Card,Male,3,5,Phone,4,Single,1
3,false,13,7,5,183.34500208,true,1,Computer,3,10,E wallet,Female,3,4,Laptop & Accessory,3,Single,6
4,false,22,2,2,120.98986494,false,21,Phone,1,18,Debit Card,Male,3,4,Phone,3,Single,7
3,false,22,5,8,181.89472264,true,9,Phone,1,7,Debit Card,Female,4,6,Laptop & Accessory,3,Single,4
6,true,11,2,2,253.74967594,false,25,Computer,1,8,CC,Female,2,3,Grocery,1,Married,1
2,false,11,1,4,145.53452241,false,4,Phone,1,26,Debit Card,Male,3,3,Laptop & Accessory,2,Divorced,1
3,false,26,2,3,167.06249121,false,4,Computer,1,9,CC,Male,4,2,Laptop & Accessory,1,Single,1
7,true,17,7,7,205.87897748,false,2,Phone,3,16,Debit Card,Male,3,3,Fashion,3,Divorced,6
2,false,25,4,2,205.97576605,false,6,Phone,3,8,E wallet,Female,2,4,Grocery,4,Single,4
3,false,18,4,9,181.19348631,false,1,Phone,1,9,CC,Male,3,5,Laptop & Accessory,4,Married,1
7,true,15,15,7,175.24308192,true,12,Phone,3,15,E wallet,Female,3,3,Fashion,1,Married,4
3,false,12,6,13,162.21938951,false,8,Phone,3,6,E wallet,Male,3,3,Laptop & Accessory,2,Married,0
2,false,18,3,3,152.06392212,false,1,Phone,1,13,CC,Male,3,3,Phone,4,Single,1
7,true,16,4,7,201.17146042,true,3,Phone,1,10,Debit Card,Male,2,4,Fashion,5,Married,3
9,false,15,1,3,146.77128813,false,8,Phone,1,17,Debit Card,Male,3,3,Laptop & Accessory,3,Single,1
9,false,11,1,3,268.07709592,false,13,Phone,1,34,CC,Female,2,3,Grocery,3,Married,1
8,false,16,2,4,174.01993168,false,22,Phone,1,19,CC,Male,3,4,Laptop & Accessory,5,Married,1
3,false,18,2,1,233.97704215,false,8,Phone,1,10,Debit Card,Male,4,5,Fashion,3,Divorced,1
6,false,19,7,7,172.5117491,false,8,Phone,2,35,CC,Male,3,3,Laptop & Accessory,4,Married,3
2,false,13,2,4,124.05369362,false,20,Phone,1,14,COD,Male,2,5,Phone,2,Single,2
3,true,21,3,3,151.93801401,true,5,Computer,1,13,Debit Card,Male,3,5,Phone,3,Single,1
1,false,14,4,8,152.34357976,false,9,Phone,1,13,CC,Female,3,3,Laptop & Accessory,2,Single,2
9,false,12,2,3,169.98664737,false,1,Phone,1,10,Debit Card,Male,3,4,Phone,5,Single,2
4,false,14,2,1,154.50541,false,25,Phone,1,6,Debit Card,Female,4,4,Laptop & Accessory,1,Married,2
4,true,13,2,3,179.43748308,false,8,Phone,1,10,CC,Male,3,4,Laptop & Accessory,3,Divorced,1
6,false,13,8,9,157.4242617,true,2,Phone,2,15,CC,Female,3,5,Phone,3,Single,7
2,false,15,1,0,286.78660018,false,15,Phone,1,32,Debit Card,Male,3,3,Others,3,Married,0
3,false,11,1,0,47.97260481,false,9,Phone,1,14,Debit Card,Male,2,1,Phone,1,Divorced,1
7,false,13,3,13,286.01957764,false,15,Phone,1,15,CC,Female,3,3,Others,5,Single,1
8,false,14,1,2,125.5670368,true,0,Phone,1,34,CC,Male,2,3,Phone,1,Married,1
3,false,14,1,4,140.77422172,false,15,Computer,1,14,CC,Female,2,1,Laptop & Accessory,1,Single,0
1,true,13,1,2,139.3349571,false,0,Phone,1,13,UPI,Female,2,2,Laptop & Accessory,3,Married,0
8,false,17,1,3,169.2298835,false,11,Computer,3,8,Debit Card,Male,2,1,Laptop & Accessory,4,Divorced,1
3,false,18,2,1,155.23533976,false,21,Phone,3,15,Debit Card,Male,3,4,Phone,3,Married,1
4,false,19,1,0,215.41772703,false,16,Phone,3,11,E wallet,Female,3,4,Fashion,4,Single,0
10,false,14,2,4,158.39726155,false,8,Phone,1,24,CC,Male,3,3,Laptop & Accessory,3,Married,1
3,false,14,2,3,145.5424309,false,3,Phone,1,12,Debit Card,Female,4,4,Phone,3,Single,1
3,true,12,2,1,150.55774637,true,1,Computer,1,31,Debit Card,Female,3,4,Phone,4,Single,12
5,false,15,8,8,168.90019045,false,11,Phone,1,7,Debit Card,Male,3,5,Laptop & Accessory,1,Married,3
2,false,12,1,7,164.70707184,false,14,Phone,1,14,UPI,Female,2,4,Laptop & Accessory,3,Single,0
6,false,21,2,1,139.77368748,false,1,Phone,2,10,UPI,Female,3,4,Phone,3,Married,1
9,false,11,2,9,255.74839184,true,23,Computer,1,14,Debit Card,Male,2,4,Grocery,3,Married,1
6,false,15,1,3,121.53070605,false,9,Phone,1,6,CC,Female,2,3,Phone,4,Married,1
3,false,21,2,8,148.50030462,true,1,Phone,1,15,COD,Male,4,4,Phone,5,Divorced,2
3,true,20,4,5,148.09892724,true,1,Phone,1,14,COD,Male,4,5,Phone,2,Single,2
2,true,14,1,2,147.46035083,false,12,Computer,1,16,Debit Card,Male,3,3,Laptop & Accessory,3,Married,1
3,false,16,2,1,150.04693104,true,1,Phone,1,12,Debit Card,Male,3,6,Phone,3,Single,2
3,false,14,2,4,151.40026375,false,14,Phone,1,16,Debit Card,Male,4,4,Phone,2,Divorced,2
8,true,18,1,1,141.05328196,true,0,Phone,3,13,E wallet,Male,2,3,Laptop & Accessory,5,Single,0
7,false,12,2,8,237.14036753,false,14,Computer,1,6,CC,Male,3,3,Grocery,4,Single,2
6,true,20,1,2,143.3414483,false,0,Phone,1,29,COD,Female,3,3,Laptop & Accessory,5,Married,0
3,true,19,4,9,181.67666861,false,3,Computer,1,26,CC,Female,4,5,Laptop & Accessory,3,Single,4
3,false,15,7,13,234.41424803,false,23,Phone,1,8,CC,Female,2,3,Fashion,5,Divorced,0
8,true,14,2,4,125.85884477,false,0,Phone,1,13,CC,Male,2,4,Phone,5,Single,0
8,true,13,2,3,159.64238832,true,1,Phone,1,35,CC,Female,4,5,Phone,5,Single,2
3,false,17,2,4,149.20251351,false,9,Phone,1,7,CC,Female,4,5,Phone,4,Married,1
5,false,20,1,0,143.66537281,false,1,Computer,1,14,Debit Card,Male,3,4,Phone,4,Single,1
2,false,19,1,2,149.26604236,false,4,Computer,1,24,Debit Card,Male,2,3,Laptop & Accessory,4,Divorced,0
8,true,22,2,2,125.91514092,false,25,Phone,1,14,Debit Card,Male,3,3,Phone,1,Single,1
6,false,23,8,10,192.68361807,false,10,Computer,3,8,UPI,Male,3,4,Laptop & Accessory,3,Married,5
2,true,14,3,4,146.26974701,false,1,Computer,1,33,Debit Card,Male,4,5,Phone,1,Single,3
3,false,13,2,1,136.2717639,true,1,Phone,1,23,CC,Female,3,6,Phone,3,Single,2
4,false,23,2,1,166.00405347,false,5,Phone,3,13,E wallet,Male,3,4,Laptop & Accessory,1,Single,2
4,false,12,2,5,151.29381073,true,1,Phone,1,32,Debit Card,Male,4,6,Phone,5,Married,1
7,false,12,2,1,154.8625824,false,13,Computer,1,9,Debit Card,Female,3,5,Phone,4,Married,1
9,true,12,2,1,155.04141097,false,1,Computer,1,23,UPI,Male,3,4,Phone,5,Single,2
9,true,23,2,3,165.32871566,false,9,Computer,1,15,CC,Male,4,4,Laptop & Accessory,4,Married,1
2,false,11,1,8,160.71590981,false,3,Phone,1,8,COD,Male,3,1,Laptop & Accessory,4,Single,0
3,true,12,8,6,225.06261863,false,19,Phone,2,16,UPI,Female,3,4,Fashion,5,Divorced,4
8,true,17,2,1,186.5847969,true,9,Phone,3,6,CC,Male,2,4,Laptop & Accessory,3,Single,2
1,false,13,1,1,136.28298218,false,0,Phone,1,10,CC,Male,2,1,Phone,1,Divorced,0
2,false,22,1,3,176.13451626,false,8,Phone,1,6,COD,Male,3,3,Laptop & Accessory,2,Single,1
7,true,13,14,3,229.81479081,false,6,Phone,3,14,Debit Card,Female,3,5,Grocery,3,Single,3
6,false,17,1,7,151.80142787,false,15,Phone,1,6,COD,Male,3,3,Laptop & Accessory,3,Divorced,1
3,false,17,6,4,158.94890911,false,1,Phone,1,32,CC,Female,3,4,Phone,3,Single,0
8,false,13,7,6,133.99140973,false,10,Phone,1,11,CC,Female,3,3,Laptop & Accessory,4,Divorced,5
10,false,15,3,2,316.15948515,false,28,Phone,1,17,Debit Card,Female,3,2,Others,3,Married,2
3,false,17,1,2,264.56277593,false,17,Phone,1,15,Debit Card,Male,3,3,Others,2,Single,1
9,false,14,2,5,155.7879799,true,2,Phone,1,7,CC,Male,4,4,Phone,3,Single,1
5,false,16,2,3,251.36135204,false,29,Phone,3,11,E wallet,Female,3,4,Grocery,2,Divorced,1
3,false,14,1,4,140.5246708,false,1,Phone,1,7,COD,Male,4,3,Phone,5,Married,0
3,true,14,2,3,179.89758722,false,1,Computer,3,27,UPI,Male,3,4,Laptop & Accessory,5,Divorced,1
